name,base_health_point,base_attack,base_defence,base_speed,element_type,image_url
bulbasaur,45,49,49,45,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
ivysaur,60,62,63,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
venusaur,80,82,83,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
venusaur-mega,80,100,123,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png
charmander,39,52,43,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
charmeleon,58,64,58,80,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
charizard,78,84,78,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
charizard-mega-x,78,130,111,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png
charizard-mega-y,78,104,78,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png
squirtle,44,48,65,43,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
wartortle,59,63,80,58,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
blastoise,79,83,100,78,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
blastoise-mega,79,103,120,78,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png
caterpie,45,30,35,45,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
metapod,50,20,55,30,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
butterfree,60,45,50,70,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
weedle,40,35,30,50,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
kakuna,45,25,50,35,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
beedrill,65,90,40,75,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
beedrill-mega,65,150,40,145,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015_f2.png
pidgey,40,45,40,56,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png
pidgeotto,63,60,55,71,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png
pidgeot,83,80,75,101,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
pidgeot-mega,83,80,80,121,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018_f2.png
rattata,30,56,35,72,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
raticate,55,81,60,97,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
spearow,40,60,30,70,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png
fearow,65,90,65,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png
ekans,35,60,44,55,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png
arbok,60,85,69,80,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png
pikachu,35,55,40,90,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png
raichu,60,90,55,110,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
sandshrew,50,75,85,40,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
sandslash,75,100,110,65,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
nidoran-f,55,47,52,41,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png
nidorina,70,62,67,56,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png
nidoqueen,90,92,87,76,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png
nidoran-m,46,57,40,50,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png
nidorino,61,72,57,65,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png
nidoking,81,102,77,85,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png
clefairy,70,45,48,35,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png
clefable,95,70,73,60,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png
vulpix,38,41,40,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
ninetales,73,76,75,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
jigglypuff,115,45,20,20,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png
wigglytuff,140,70,45,45,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png
zubat,40,45,35,55,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png
golbat,75,80,70,90,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png
oddish,45,50,55,30,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png
gloom,60,65,70,40,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png
vileplume,75,80,85,50,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png
paras,35,70,55,25,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png
parasect,60,95,80,30,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png
venonat,60,55,50,45,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png
venomoth,70,65,60,90,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png
diglett,10,55,25,95,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
dugtrio,35,80,50,120,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
meowth,40,45,35,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
persian,65,70,60,115,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
psyduck,50,52,48,55,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
golduck,80,82,78,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
mankey,40,80,35,70,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
primeape,65,105,60,95,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
growlithe,55,70,45,60,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
arcanine,90,110,80,95,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
poliwag,40,50,40,90,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
poliwhirl,65,65,65,90,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
poliwrath,90,95,95,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
abra,25,20,15,90,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
kadabra,40,35,30,105,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
alakazam,55,50,45,120,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
alakazam-mega,55,50,65,150,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065_f2.png
machop,70,80,50,35,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
machoke,80,100,70,45,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
machamp,90,130,80,55,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
bellsprout,50,75,35,40,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
weepinbell,65,90,50,55,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
victreebel,80,105,65,70,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
tentacool,40,40,35,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
tentacruel,80,70,65,100,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
geodude,40,80,100,20,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
graveler,55,95,115,35,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
golem,80,120,130,45,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
ponyta,50,85,55,90,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
rapidash,65,100,70,105,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
slowpoke,90,65,65,15,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
slowbro,95,75,110,30,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
slowbro-mega,95,75,180,30,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080_f2.png
magnemite,25,35,70,45,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png
magneton,50,60,95,70,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png
farfetchd,52,65,55,60,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png
doduo,35,85,45,75,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png
dodrio,60,110,70,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png
seel,65,45,55,45,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png
dewgong,90,70,80,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png
grimer,80,80,50,25,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png
muk,105,105,75,50,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png
shellder,30,65,100,40,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png
cloyster,50,95,180,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png
gastly,30,35,30,80,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png
haunter,45,50,45,95,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/093.png
gengar,60,65,60,110,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/094.png
gengar-mega,60,65,80,130,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/094_f2.png
onix,35,45,160,70,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/095.png
drowzee,60,48,45,42,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/096.png
hypno,85,73,70,67,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/097.png
krabby,30,105,90,50,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/098.png
kingler,55,130,115,75,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/099.png
voltorb,40,30,50,100,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/100.png
electrode,60,50,70,140,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/101.png
exeggcute,60,40,80,40,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/102.png
exeggutor,95,95,85,55,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png
cubone,50,50,95,35,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/104.png
marowak,60,80,110,45,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/105.png
hitmonlee,50,120,53,87,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/106.png
hitmonchan,50,105,79,76,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/107.png
lickitung,90,55,75,30,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/108.png
koffing,40,65,95,35,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/109.png
weezing,65,90,120,60,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/110.png
rhyhorn,80,85,95,25,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/111.png
rhydon,105,130,120,40,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/112.png
chansey,250,5,5,50,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/113.png
tangela,65,55,115,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/114.png
kangaskhan,105,95,80,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/115.png
kangaskhan-mega,105,125,100,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/115_f2.png
horsea,30,40,70,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/116.png
seadra,55,65,95,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/117.png
goldeen,45,67,60,63,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/118.png
seaking,80,92,65,68,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/119.png
staryu,30,45,55,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/120.png
starmie,60,75,85,115,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/121.png
mr-mime,40,45,65,90,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/122.png
scyther,70,110,80,105,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/123.png
jynx,65,50,35,95,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/124.png
electabuzz,65,83,57,105,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/125.png
magmar,65,95,57,93,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/126.png
pinsir,65,125,100,85,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/127.png
pinsir-mega,65,155,120,105,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/127_f2.png
tauros,75,100,95,110,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/128.png
magikarp,20,10,55,80,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/129.png
gyarados,95,125,79,81,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/130.png
gyarados-mega,95,155,109,81,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/130_f2.png
lapras,130,85,80,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/131.png
ditto,48,48,48,48,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/132.png
eevee,55,55,50,55,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/133.png
vaporeon,130,65,60,65,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/134.png
jolteon,65,65,60,130,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/135.png
flareon,65,130,60,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/136.png
porygon,65,60,70,40,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/137.png
omanyte,35,40,100,35,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/138.png
omastar,70,60,125,55,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/139.png
kabuto,30,80,90,55,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/140.png
kabutops,60,115,105,80,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/141.png
aerodactyl,80,105,65,130,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/142.png
aerodactyl-mega,80,135,85,150,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/142_f2.png
snorlax,160,110,65,30,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/143.png
articuno,90,85,100,85,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png
zapdos,90,90,85,100,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png
moltres,90,100,90,90,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/146.png
dratini,41,64,45,50,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/147.png
dragonair,61,84,65,70,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/148.png
dragonite,91,134,95,80,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/149.png
mewtwo,106,110,90,130,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150.png
mewtwo-mega-x,106,190,100,130,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f2.png
mewtwo-mega-y,106,150,70,140,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/150_f3.png
mew,100,100,100,100,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/151.png
chikorita,45,49,65,45,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/152.png
bayleef,60,62,80,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/153.png
meganium,80,82,100,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/154.png
cyndaquil,39,52,43,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/155.png
quilava,58,64,58,80,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/156.png
typhlosion,78,84,78,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/157.png
totodile,50,65,64,43,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/158.png
croconaw,65,80,80,58,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/159.png
feraligatr,85,105,100,78,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/160.png
sentret,35,46,34,20,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/161.png
furret,85,76,64,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/162.png
hoothoot,60,30,30,50,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/163.png
noctowl,100,50,50,70,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/164.png
ledyba,40,20,30,55,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/165.png
ledian,55,35,50,85,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/166.png
spinarak,40,60,40,30,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/167.png
ariados,70,90,70,40,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/168.png
crobat,85,90,80,130,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/169.png
chinchou,75,38,38,67,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/170.png
lanturn,125,58,58,67,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/171.png
pichu,20,40,15,60,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/172.png
cleffa,50,25,28,15,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/173.png
igglybuff,90,30,15,15,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/174.png
togepi,35,20,65,20,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/175.png
togetic,55,40,85,40,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/176.png
natu,40,50,45,70,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/177.png
xatu,65,75,70,95,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/178.png
mareep,55,40,40,35,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/179.png
flaaffy,70,55,55,45,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/180.png
ampharos,90,75,85,55,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181.png
ampharos-mega,90,95,105,45,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/181_f2.png
bellossom,75,80,95,50,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/182.png
marill,70,20,50,40,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/183.png
azumarill,100,50,80,50,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/184.png
sudowoodo,70,100,115,30,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/185.png
politoed,90,75,75,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/186.png
hoppip,35,35,40,50,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/187.png
skiploom,55,45,50,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/188.png
jumpluff,75,55,70,110,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/189.png
aipom,55,70,55,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/190.png
sunkern,30,30,30,30,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/191.png
sunflora,75,75,55,30,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/192.png
yanma,65,65,45,95,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/193.png
wooper,55,45,45,15,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/194.png
quagsire,95,85,85,35,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/195.png
espeon,65,65,60,110,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/196.png
umbreon,95,65,110,65,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/197.png
murkrow,60,85,42,91,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/198.png
slowking,95,75,80,30,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/199.png
misdreavus,60,60,60,85,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/200.png
unown,48,72,48,48,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/201.png
wobbuffet,190,33,58,33,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/202.png
girafarig,70,80,65,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/203.png
pineco,50,65,90,15,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/204.png
forretress,75,90,140,40,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/205.png
dunsparce,100,70,70,45,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/206.png
gligar,65,75,105,85,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/207.png
steelix,75,85,200,30,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208.png
steelix-mega,75,125,230,30,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/208_f2.png
snubbull,60,80,50,30,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/209.png
granbull,90,120,75,45,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/210.png
qwilfish,65,95,75,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/211.png
scizor,70,130,100,65,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/212.png
scizor-mega,70,150,140,75,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/212_f2.png
shuckle,20,10,230,5,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/213.png
heracross,80,125,75,85,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/214.png
heracross-mega,80,185,115,75,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/214_f2.png
sneasel,55,95,55,115,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/215.png
teddiursa,60,80,50,40,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/216.png
ursaring,90,130,75,55,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/217.png
slugma,40,40,40,20,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/218.png
magcargo,50,50,120,30,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/219.png
swinub,50,50,40,50,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/220.png
piloswine,100,100,80,50,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/221.png
corsola,55,55,85,35,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/222.png
remoraid,35,65,35,65,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/223.png
octillery,75,105,75,45,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/224.png
delibird,45,55,45,75,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/225.png
mantine,65,40,70,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/226.png
skarmory,65,80,140,70,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/227.png
houndour,45,60,30,65,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/228.png
houndoom,75,90,50,95,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/229.png
houndoom-mega,75,90,90,115,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/229_f2.png
kingdra,75,95,95,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/230.png
phanpy,90,60,60,40,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/231.png
donphan,90,120,120,50,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/232.png
porygon2,85,80,90,60,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/233.png
stantler,73,95,62,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/234.png
smeargle,55,20,35,75,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/235.png
tyrogue,35,35,35,35,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/236.png
hitmontop,50,95,95,70,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/237.png
smoochum,45,30,15,65,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/238.png
elekid,45,63,37,95,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/239.png
magby,45,75,37,83,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/240.png
miltank,95,80,105,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/241.png
blissey,255,10,10,55,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/242.png
raikou,90,85,75,115,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/243.png
entei,115,115,85,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/244.png
suicune,100,75,115,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/245.png
larvitar,50,64,50,41,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/246.png
pupitar,70,84,70,51,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/247.png
tyranitar,100,134,110,61,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png
tyranitar-mega,100,164,150,71,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/248_f2.png
